DATETIME,ITEM,LEFT_LEN,RIGHT_LEN,LEFT_RESULT,RIGHT_RESULT
STRING,STRING,DOUBLE,DOUBLE,BOOL,BOOL
2015.09.01 19:47:36 501,TOP,3.427,-3.621,True,False
2015.09.01 20:03:07 719,TOP,3.428,3.473,True,False
2015.09.01 20:04:55 290,TOP,3.427,3.473,True,True
2015.09.01 20:07:05 278,TOP,3.428,3.473,True,True
2015.09.01 20:12:02 422,TOP,3.427,3.474,True,True
2015.09.01 20:12:14 591,BOTTOM,3.255,3.407,False,True
2015.09.01 20:13:13 696,TOP,3.428,3.474,True,True
2015.09.01 20:13:16 674,BOTTOM,3.254,3.407,True,True
2015.09.01 20:27:52 346,TOP,3.898,,False,
2015.09.01 20:29:04 362,TOP,3.898,,False,
2015.09.01 20:40:46 488,TOP,3.898,,False,
2015.09.01 20:44:27 672,TOP,3.9,,False,
2015.09.01 20:48:33 200,TOP,3.901,,False,
2015.09.01 20:49:56 879,TOP,3.901,,True,
2015.09.01 20:50:03 992,BOTTOM,3.941,,True,
2015.09.01 20:53:25 089,TOP,,1.016,,True
2015.09.01 20:57:08 323,TOP,,1.016,,True
2015.09.01 20:57:15 413,BOTTOM,,1.013,,True
2015.09.01 20:59:23 110,TOP,3.9,1.016,True,True
2015.09.01 20:59:30 225,BOTTOM,3.942,1.013,True,True
2015.09.01 21:03:41 235,TOP,3.428,,True,
2015.09.01 21:03:43 837,BOTTOM,3.253,,True,
2015.09.01 21:04:17 827,TOP,,3.469,,True
2015.09.01 21:04:20 453,BOTTOM,,3.403,,True
