ID,RECIPE,STAGE,ALIGNMENT_LEFTX_LIMIT,ALIGNMENT_RIGHTX_LIMIT,ALIGNMENT_Y_LIMIT,ALIGNMENT_T_LIMIT,EDGE_LEFT_TOP_MIN,EDGE_LEFT_TOP_MAX,EDGE_LEFT_BOTTOM_MIN,EDGE_LEFT_BOTTOM_MAX,EDGE_RIGHT_TOP_MIN,EDGE_RIGHT_TOP_MAX,EDGE_RIGHT_BOTTOM_MIN,EDGE_RIGHT_BOTTOM_MAX
INT,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
5,58inch rev 181030,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
5,58inch rev 181030,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
6,50inch rev 181101,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
6,50inch rev 181101,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
2,50inch rev,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
2,50inch rev,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
8,55555,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
8,55555,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
9,50inch GOA,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
9,50inch GOA,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
15,58INCH 90DEG,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
15,58INCH 90DEG,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
4,58INCH REV,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
4,58INCH REV,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
7,58INCH-D53A-0128,A,0.008,0.008,0.008,0.0005,1.96,2.04,1.96,2.04,1.96,2.04,1.96,2.04
7,58INCH-D53A-0128,B,0.008,0.008,0.008,0.0005,1.96,2.04,1.96,2.04,1.96,2.04,1.96,2.04
13,A1CC580PV1D01-D53A,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
13,A1CC580PV1D01-D53A,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
14,A1CC495PU1L11,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
14,A1CC495PU1L11,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
19,A1CC430LV1D01,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
19,A1CC430LV1D01,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
21,A1CC500PV1D02,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
21,A1CC500PV1D02,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
121,22222,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
121,22222,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
26,A1CC580PV3D01,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
26,A1CC580PV3D01,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
122,58GOATEST,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
122,58GOATEST,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
10,A1CC500PV3D01,A,0.008,0.008,0.008,0.0005,1.96,2.04,1.96,2.04,1.96,2.04,1.96,2.04
10,A1CC500PV3D01,B,0.008,0.008,0.008,0.0005,1.96,2.04,1.96,2.04,1.96,2.04,1.96,2.04
22,A1CC500PV1D03,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
22,A1CC500PV1D03,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
27,A1CC500PV4D01,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
27,A1CC500PV4D01,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
123,50GOATEST,A,0.005,0.005,0.005,0.0005,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8
123,50GOATEST,B,0.005,0.005,0.005,0.0005,0.95,1.05,0.95,1.05,0.95,1.05,0.95,1.05
