DATETIME,RECIPE,STAGE,ITEM,RESULT,ALIGNMENT_VIEW_LEFT_X,ALIGNMENT_VIEW_LEFT_Y,ALIGNMENT_VIEW_RIGHT_X,ALIGNMENT_VIEW_RIGHT_Y,ALIGNMENT_EQUIP_LEFT_X,ALIGNMENT_EQUIP_RIGHT_X,ALIGNMENT_EQUIP_Y,ALIGNMENT_EQUIP_T,RETRY,TIME_ELAPSED,LEFT_FILE,RIGHT_FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,STRING,STRING,STRING
2019.04.12 00:00:34 625,A1CC500PV4D01,1,,RETRY,858.8366,502.7687,866.772,572.8752,0.1213,0.1449,-0.1929,-0.0113,1,00:00:00,.\Image\1\Alignment\2019\04\12\00.00.34 625\Left.jpg,.\Image\1\Alignment\2019\04\12\00.00.34 625\Right.jpg
2019.04.12 00:00:35 016,A1CC500PV4D01,2,,RETRY,631.0663,589.7974,643.8796,634.3085,-0.6426,-0.6014,0.0374,-0.01254,1,00:00:00,.\Image\2\Alignment\2019\04\12\00.00.35 016\Left.jpg,.\Image\2\Alignment\2019\04\12\00.00.35 016\Right.jpg
2019.04.12 00:00:35 382,A1CC500PV4D01,1,,OK,799.7308,599.3658,799.7758,599.5391,-0.001,-0.0009,-0.0017,-3E-05,1,00:00:00.8625000,.\Image\1\Alignment\2019\04\12\00.00.35 382\Left.jpg,.\Image\1\Alignment\2019\04\12\00.00.35 382\Right.jpg
2019.04.12 00:00:35 625,A1CC500PV4D01,2,,OK,800.1297,600.0462,800.6561,600.2743,-0.0002,0.0014,0.0005,-6E-05,1,00:00:00.9862500,.\Image\2\Alignment\2019\04\12\00.00.35 625\Left.jpg,.\Image\2\Alignment\2019\04\12\00.00.35 625\Right.jpg
2019.04.12 00:00:54 178,A1CC500PV4D01,1,,RETRY,842.6323,523.9612,849.9027,553.1476,0.1068,0.1286,-0.1906,-0.00474,1,00:00:00,.\Image\1\Alignment\2019\04\12\00.00.54 178\Left.jpg,.\Image\1\Alignment\2019\04\12\00.00.54 178\Right.jpg
2019.04.12 00:00:54 403,A1CC500PV4D01,2,,RETRY,629.324,585.9658,642.4999,641.546,-0.678,-0.6357,0.0427,-0.01567,1,00:00:00,.\Image\2\Alignment\2019\04\12\00.00.54 403\Left.jpg,.\Image\2\Alignment\2019\04\12\00.00.54 403\Right.jpg
2019.04.12 00:00:54 911,A1CC500PV4D01,1,,OK,799.5837,600.177,799.6843,599.2679,-0.0005,-0.0002,-0.0009,0.00015,1,00:00:00.7712500,.\Image\1\Alignment\2019\04\12\00.00.54 911\Left.jpg,.\Image\1\Alignment\2019\04\12\00.00.54 911\Right.jpg
2019.04.12 00:00:55 425,A1CC500PV4D01,2,,OK,799.2865,600.1063,799.6751,599.5899,-0.0008,0.0004,-0.0005,0.00015,1,00:00:01.1962500,.\Image\2\Alignment\2019\04\12\00.00.55 425\Left.jpg,.\Image\2\Alignment\2019\04\12\00.00.55 425\Right.jpg
2019.04.12 00:01:22 961,A1CC500PV4D01,1,,RETRY,857.1487,508.4566,864.6302,589.6959,0.1063,0.1285,-0.1581,-0.01308,1,00:00:00,.\Image\1\Alignment\2019\04\12\00.01.22 961\Left.jpg,.\Image\1\Alignment\2019\04\12\00.01.22 961\Right.jpg
